Timestep,Cumulative Reward
347,330.59999999999786
348,331.54999999999785
349,332.49999999999784
350,333.44999999999783
351,334.3999999999978
352,335.3499999999978
353,336.2999999999978
354,337.2499999999978
355,338.1999999999978
356,339.14999999999776
357,340.09999999999775
358,341.04999999999774
359,341.9999999999977
360,342.9499999999977
361,343.8999999999977
362,344.8499999999977
363,345.7999999999977
364,346.74999999999767
365,347.69999999999766
366,348.64999999999765
367,349.59999999999764
368,350.5499999999976
369,351.4999999999976
370,352.4499999999976
371,353.3999999999976
372,354.3499999999976
373,355.29999999999757
374,356.24999999999756
375,357.19999999999754
376,358.14999999999753
377,359.0999999999975
378,360.0499999999975
379,360.9999999999975
380,361.9499999999975
381,362.8999999999975
382,363.84999999999746
383,364.79999999999745
384,365.74999999999744
385,366.69999999999743
386,367.6499999999974
387,368.5999999999974
388,369.5499999999974
389,370.4999999999974
390,371.4499999999974
391,372.39999999999736
392,373.34999999999735
393,374.29999999999734
394,375.2499999999973
395,376.1999999999973
396,377.1499999999973
397,378.0999999999973
398,379.0499999999973
399,379.99999999999727
400,380.94999999999726
401,381.89999999999725
402,382.84999999999724
403,383.7999999999972
404,384.7499999999972
405,385.6999999999972
406,386.6499999999972
407,387.5999999999972
408,388.54999999999717
409,389.49999999999716
410,390.44999999999715
411,391.39999999999714
412,392.3499999999971
413,393.2999999999971
414,394.2499999999971
415,395.1999999999971
416,396.1499999999971
417,397.09999999999707
418,398.04999999999706
419,398.99999999999704
420,399.94999999999703
421,400.899999999997
422,401.849999999997
423,402.799999999997
424,403.749999999997
425,404.699999999997
426,405.64999999999696
427,406.59999999999695
428,407.54999999999694
429,408.49999999999693
430,409.4499999999969
431,410.3999999999969
432,411.3499999999969
433,412.2999999999969
434,413.2499999999969
435,414.19999999999686
436,415.14999999999685
437,416.09999999999684
438,417.0499999999968
439,417.9999999999968
440,418.9499999999968
441,419.8999999999968
442,420.8499999999968
443,421.79999999999677
444,422.74999999999676
445,423.69999999999675
446,424.64999999999674
447,425.5999999999967
448,426.5499999999967
449,427.4999999999967
450,428.4499999999967
451,429.3999999999967
452,430.34999999999667
453,431.29999999999666
454,432.24999999999665
455,433.19999999999663
456,434.1499999999966
457,435.0999999999966
458,436.0499999999966
459,436.9999999999966
460,437.9499999999966
461,438.89999999999657
462,439.84999999999656
463,440.79999999999654
464,441.74999999999653
465,442.6999999999965
466,443.6499999999965
467,444.5999999999965
468,445.5499999999965
469,446.4999999999965
470,447.44999999999646
471,448.39999999999645
472,449.34999999999644
473,450.29999999999643
474,451.2499999999964
475,452.1999999999964
476,453.1499999999964
477,454.0999999999964
478,455.0499999999964
479,455.99999999999636
480,456.94999999999635
481,457.89999999999634
482,458.8499999999963
